delivery_partner,package_type,delivery_mode,distance_km,package_weight_kg,delivery_time_hours,expected_time_hours,delayed,delivery_status,delivery_rating,delivery_cost,vehicle_type_bike,vehicle_type_ev bike,vehicle_type_ev van,vehicle_type_scooter,vehicle_type_truck,vehicle_type_van,region_central,region_east,region_north,region_south,region_west,weather_condition_clear,weather_condition_cold,weather_condition_foggy,weather_condition_hot,weather_condition_rainy,weather_condition_stormy,time_diff,speed,cost_per_km
2,0,1,297.0,46.96,2.2222222222222224e-12,2.2222222222222224e-12,0,1,3,1632.7206,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,0.0,133649999999999.98,5.497375757575758
8,2,0,89.6,47.39,5.555555555555556e-13,8.333333333333333e-13,0,1,5,640.17,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,-2.777777777777777e-13,161279999999999.97,7.144754464285715
7,7,3,273.5,26.89,2.7777777777777777e-12,4.444444444444445e-12,0,1,4,1448.17,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,-1.666666666666667e-12,98460000000000.0,5.294954296160878
3,4,1,269.7,12.69,1.6666666666666666e-12,2.2222222222222224e-12,0,1,3,1486.57,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,-5.555555555555558e-13,161820000000000.0,5.511939191694475
3,1,3,256.7,37.02,2.5e-12,4.444444444444445e-12,0,1,4,1394.56,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,-1.944444444444445e-12,102680000000000.0,5.432645111024542
0,3,0,48.4,33.15,1.1111111111111112e-12,5.555555555555556e-13,1,0,3,391.45,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,5.555555555555556e-13,43559999999999.99,8.087809917355372
2,7,1,198.3,43.79,1.6666666666666666e-12,2.2222222222222224e-12,0,1,3,1222.87,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,-5.555555555555558e-13,118980000000000.02,6.166767523953605
8,5,1,114.6,42.63,1.1111111111111112e-12,2.2222222222222224e-12,0,1,3,800.89,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,-1.1111111111111112e-12,103139999999999.98,6.988568935427574
1,1,1,142.4,14.06,1.3888888888888889e-12,2.2222222222222224e-12,0,1,5,854.18,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,-8.333333333333335e-13,102528000000000.0,5.9984550561797745
2,8,1,47.1,29.28,8.333333333333333e-13,2.2222222222222224e-12,0,1,5,423.34,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,-1.388888888888889e-12,56520000000000.01,8.988110403397027
6,7,1,293.2,22.05,1.3888888888888889e-12,2.2222222222222224e-12,0,1,4,1632.15,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,-8.333333333333335e-13,211104000000000.0,5.566678035470669
4,4,3,80.4,46.48,8.333333333333333e-13,4.444444444444445e-12,0,1,5,541.44,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,-3.6111111111111114e-12,96480000000000.02,6.7343283582089555
8,8,3,257.7,20.56,2.2222222222222224e-12,4.444444444444445e-12,0,1,4,1350.18,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,-2.2222222222222224e-12,115964999999999.98,5.239348079161816
8,2,0,19.0,3.36,1.6666666666666666e-12,5.555555555555556e-13,1,2,1,155.08,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,1.111111111111111e-12,11400000000000.0,8.162105263157896
8,0,3,237.9,24.59,3.333333333333333e-12,4.444444444444445e-12,0,1,3,1263.27,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,-1.1111111111111116e-12,71370000000000.0,5.3100882723833545
0,6,0,239.3,11.67,2.2222222222222224e-12,1.6666666666666666e-12,1,0,3,1281.51,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,5.555555555555558e-13,107685000000000.0,5.355244463017133
6,3,2,79.0,0.73,2.7777777777777777e-12,6.666666666666666e-12,0,1,5,397.19,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,-3.888888888888889e-12,28440000000000.0,5.027721518987342
1,5,2,170.7,45.62,3.0555555555555552e-12,6.666666666666666e-12,0,1,5,990.36,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,-3.611111111111111e-12,55865454545454.55,5.801757469244289
